Year,NOC,Continent,PIB,Medals,PIB/MEDALS
1984,DNK,Europe,59105236853.7937,13,4546556681.061054
1984,DOM,North America,11594000000.0,1,11594000000.0
1984,DZA,Africa,53698278905.9678,2,26849139452.9839
1984,ECU,South America,16912515183.2783,0,0.0
1984,EGY,Africa,33971188991.6147,1,33971188991.6147
1984,ESP,Europe,172102910370.524,19,9058047914.238104
1984,FIN,Europe,52888800949.7428,31,1706090353.2175095
1984,FJI,Oceania,1177997413.63384,0,0.0
1984,FRA,Europe,530683779929.445,70,7581196856.134929
1984,GAB,Africa,3561451562.21946,0,0.0
1984,GBR,Europe,461487097632.349,73,6321741063.456836
1984,GHA,Africa,4412279843.44423,0,0.0
1984,GMB,Africa,177338801.93075,0,0.0
1984,GNQ,Africa,50320914.4065688,0,0.0
1984,GRC,Europe,48020024183.7969,2,24010012091.89845
1984,GRD,North America,145533310.740741,0,0.0
1984,GTM,North America,9470000100.0,0,0.0
1984,GUY,South America,437631605.263158,0,0.0
1984,HKG,Asia,33511383985.6741,0,0.0
1984,HND,North America,4915311846.5,0,0.0
1984,HTI,North America,1816200000.0,0,0.0
1984,IDN,Asia,84853699994.5677,0,0.0
1984,IND,Asia,212158234167.312,0,0.0
1984,IRL,Europe,20106648454.8404,1,20106648454.8404
1984,IRQ,Asia,46938387096.7742,0,0.0
1984,ISL,Europe,2864441387.40507,1,2864441387.40507
1984,ITA,Europe,437887689001.543,65,6736733676.9468155
1984,JAM,North America,2373566957.49214,7,339080993.9274486
1984,JOR,Asia,4966710013.0039,0,0.0
1984,JPN,Asia,1318381627003.76,50,26367632540.0752
1984,KEN,Africa,6191437070.61366,3,2063812356.8712199
1984,KOR,Asia,97510235986.0046,41,2378298438.6830387
1984,KWT,Asia,21697297872.3404,0,0.0
1984,LIE,Europe,502617355.407073,2,251308677.7035365
1984,LKA,Asia,6043474842.76729,0,0.0
1984,LSO,Africa,333158476.24212,0,0.0
1984,LUX,Europe,4438435492.87908,0,0.0
1984,MAR,Africa,14824728528.4604,2,7412364264.2302
1984,MCO,Europe,1037314956.23209,0,0.0
1984,MDG,Africa,3905938480.86119,0,0.0
1984,MEX,North America,184261495828.367,6,30710249304.727833
1984,MLI,Africa,1232932104.67093,0,0.0
1984,MLT,Europe,1101828568.76804,0,0.0
1984,MMR,Asia,1354699245.07241,0,0.0
1984,MNG,Asia,2098734600.0,0,0.0
1984,MRT,Africa,1074373735.44942,0,0.0
1984,MUS,Africa,1040557089.33864,0,0.0
1984,MWI,Africa,1208008985.42522,0,0.0
1984,MYS,Asia,33943505717.6993,0,0.0
1984,NER,Africa,1461243212.42814,0,0.0
1984,NGA,Africa,73484359521.4887,5,14696871904.297739
